"year","period_end","org_code","org_name","total_on_beds_available","general_acute_on_beds_available","learn_disabil_on_beds_available","maternity_on_beds_available","mental_illness_on_beds_available","total_on_beds_occupied","general_acute_on_beds_occupied","learn_disabil_on_beds_occupied","maternity_on_beds_occupied","mental_illness_on_beds_occupied","total_on_beds_percent_occupied","general_acute_on_beds_percent_occupied","learn_disabil_on_beds_percent_occupied","maternity_on_beds_percent_occupied","mental_illness_on_beds_percent_occupied","quarter","total_day_beds_available","general_acute_day_beds_available","learn_disabil_day_beds_available","maternity_day_beds_available","mental_illness_day_beds_available","total_day_beds_occupied","general_acute_day_beds_occupied","learn_disabil_day_beds_occupied","maternity_day_beds_occupied","mental_illness_day_beds_occupied","total_day_beds_percent_occupied","general_acute_day_beds_percent_occupied","learn_disabil_day_beds_percent_occupied","maternity_day_beds_percent_occupied","mental_illness_day_beds_percent_occupied"
"2010","June","5A4","HAVERING PCT",57.0879120879121,57.0879120879121,0,0,0,52.5164835164835,52.5164835164835,0,0,0,0.919923002887392,0.919923002887392,NA,NA,NA,"Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","September","5A4","HAVERING PCT",45,45,0,0,0,41.2173913043478,41.2173913043478,0,0,0,0.915942028985507,0.915942028985507,NA,NA,NA,"Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","December","5A4","HAVERING PCT",46.0869565217391,46.0869565217391,0,0,0,41.5978260869565,41.5978260869565,0,0,0,0.902594339622641,0.902594339622641,NA,NA,NA,"Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011","June","5A4","HAVERING PCT",45.6263736263736,45.6263736263736,0,0,0,43.2417582417582,43.2417582417582,0,0,0,0.947736030828516,0.947736030828516,NA,NA,NA,"Q1",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"2011","September","5A4","HAVERING PCT",45,45,0,0,0,41.6413043478261,41.6413043478261,0,0,0,0.92536231884058,0.92536231884058,NA,NA,NA,"Q2",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"2011","March","5A4","HAVERING PCT",50.1222222222222,50.1222222222222,0,0,0,48.2666666666667,48.2666666666667,0,0,0,0.962979383728663,0.962979383728663,NA,NA,NA,"Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","June","5A9","BARNET PCT",93,93,0,0,0,83.6923076923077,83.6923076923077,0,0,0,0.899917287014061,0.899917287014061,NA,NA,NA,"Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","September","5A9","BARNET PCT",83.8695652173913,83.8695652173913,0,0,0,68.1304347826087,68.1304347826087,0,0,0,0.812337998963193,0.812337998963193,NA,NA,NA,"Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","December","5A9","BARNET PCT",65,65,0,0,0,61.6630434782609,61.6630434782609,0,0,0,0.94866220735786,0.94866220735786,NA,NA,NA,"Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011","June","5A9","BARNET PCT",65,65,0,0,0,60.1758241758242,60.1758241758242,0,0,0,0.925781910397295,0.925781910397295,NA,NA,NA,"Q1",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"2011","March","5A9","BARNET PCT",65,65,0,0,0,61.0111111111111,61.0111111111111,0,0,0,0.938632478632479,0.938632478632479,NA,NA,NA,"Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","June","5AT","HILLINGDON PCT",22.2417582417582,22.2417582417582,0,0,0,17.2857142857143,17.2857142857143,0,0,0,0.777173913043478,0.777173913043478,NA,NA,NA,"Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","September","5AT","HILLINGDON PCT",22,22,0,0,0,17.5652173913043,17.5652173913043,0,0,0,0.798418972332016,0.798418972332016,NA,NA,NA,"Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","December","5AT","HILLINGDON PCT",22,22,0,0,0,16.8260869565217,16.8260869565217,0,0,0,0.764822134387352,0.764822134387352,NA,NA,NA,"Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011","June","5AT","HILLINGDON PCT",22,22,0,0,0,14.3186813186813,14.3186813186813,0,0,0,0.650849150849151,0.650849150849151,NA,NA,NA,"Q1",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"2011","March","5AT","HILLINGDON PCT",22,22,0,0,0,15.9777777777778,15.9777777777778,0,0,0,0.726262626262626,0.726262626262626,NA,NA,NA,"Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","June","5C4","TOWER HAMLETS PCT",97.5494505494506,97.5494505494506,0,0,0,86.1538461538462,86.1538461538462,0,0,0,0.883181254928467,0.883181254928467,NA,NA,NA,"Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","September","5C4","TOWER HAMLETS PCT",88,88,0,0,0,71.9673913043478,71.9673913043478,0,0,0,0.817811264822134,0.817811264822134,NA,NA,NA,"Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","December","5C4","TOWER HAMLETS PCT",82.2173913043478,82.2173913043478,0,0,0,68.5869565217391,68.5869565217391,0,0,0,0.834214701216288,0.834214701216288,NA,NA,NA,"Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011","June","5C4","TOWER HAMLETS PCT",68,68,0,0,0,55.3846153846154,55.3846153846154,0,0,0,0.81447963800905,0.81447963800905,NA,NA,NA,"Q1",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"2011","March","5C4","TOWER HAMLETS PCT",72,72,0,0,0,61.5,61.5,0,0,0,0.854166666666667,0.854166666666667,NA,NA,NA,"Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","June","5C9","HARINGEY TEACHING PCT",38,32,6,0,0,28.7362637362637,23.4835164835165,5.25274725274725,0,0,0.756217466743783,0.73385989010989,0.875457875457875,NA,NA,"Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","September","5C9","HARINGEY TEACHING PCT",32.695652173913,26.695652173913,6,0,0,26.9673913043478,22.1195652173913,4.84782608695652,0,0,0.824800531914893,0.828583061889251,0.807971014492754,NA,NA,"Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","December","5C9","HARINGEY TEACHING PCT",24,24,0,0,0,22.0869565217391,22.0869565217391,0,0,0,0.920289855072464,0.920289855072464,NA,NA,NA,"Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011","March","5C9","HARINGEY TEACHING PCT",27,27,0,0,0,25.1888888888889,25.1888888888889,0,0,0,0.932921810699589,0.932921810699589,NA,NA,NA,"Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","June","5CN","HEREFORDSHIRE PCT",71.9230769230769,0,6.64835164835165,0,65.2747252747253,54.1648351648352,0,5.9010989010989,0,48.2637362637363,0.753093964858671,NA,0.887603305785124,NA,0.739393939393939,"Q1",1.78021978021978,1.78021978021978,0,0,0,1.78021978021978,1.78021978021978,0,0,0,1,1,NA,NA,NA
