"org_code","number_of_adult_critical_care_beds_open","date","month","year","number_of_paediatric_intensive_care_beds_open","number_of_neonatal_critical_care_cots_or_beds_open","number_of_adult_critical_care_beds_occupied","number_of_paediatric_intensive_care_beds_occupied","number_of_neonatal_critical_care_cots_or_beds_occupied","adult_critical_care_beds_percent_occupied","paediatric_intensive_care_beds_percent_occupied","neonatal_critical_care_cots_or_beds_percent_occupied","number_of_non_medical_critical_care_transfers","exp_problematic_org_change","org_name","unproblematic_org_change","exp_unproblematic_org_change"
"5A3",0,2010-08-01,"August",2010,0,0,0,0,0,NA,0,0,0,0,"SOUTH GLOUCESTERSHIRE PCT",0,0
"5A3",0,2010-09-01,"September",2010,0,0,0,0,0,NA,0,0,0,0,"SOUTH GLOUCESTERSHIRE PCT",0,0
"5A3",0,2010-10-01,"October",2010,0,0,0,0,0,NA,0,0,0,0,"SOUTH GLOUCESTERSHIRE PCT",0,0
"5A4",0,2010-08-01,"August",2010,0,0,0,0,0,NA,0,0,0,1,"HAVERING PCT",0,0
"5A4",0,2010-09-01,"September",2010,0,0,0,0,0,NA,0,0,0,1,"HAVERING PCT",0,0
"5A4",0,2010-10-01,"October",2010,0,0,0,0,0,NA,0,0,0,1,"HAVERING PCT",0,0
"5A9",0,2010-08-01,"August",2010,0,0,0,0,0,NA,0,0,0,1,"BARNET PCT",0,0
"5A9",0,2010-09-01,"September",2010,0,0,0,0,0,NA,0,0,0,1,"BARNET PCT",0,0
"5A9",0,2010-10-01,"October",2010,0,0,0,0,0,NA,0,0,0,1,"BARNET PCT",0,0
"5C2",0,2010-08-01,"August",2010,0,0,0,0,0,NA,0,0,0,1,"BARKING AND DAGENHAM PCT",0,0
"5C2",0,2010-09-01,"September",2010,0,0,0,0,0,NA,0,0,0,1,"BARKING AND DAGENHAM PCT",0,0
"5C2",0,2010-10-01,"October",2010,0,0,0,0,0,NA,0,0,0,1,"BARKING AND DAGENHAM PCT",0,0
"5C3",0,2010-08-01,"August",2010,0,0,0,0,0,NA,0,0,0,1,"CITY AND HACKNEY TEACHING PCT",0,0
"5C3",0,2010-09-01,"September",2010,0,0,0,0,0,NA,0,0,0,1,"CITY AND HACKNEY TEACHING PCT",0,0
"5C3",0,2010-10-01,"October",2010,0,0,0,0,0,NA,0,0,0,1,"CITY AND HACKNEY TEACHING PCT",0,0
"5C4",0,2010-08-01,"August",2010,0,0,0,0,0,NA,0,0,0,1,"TOWER HAMLETS PCT",0,0
"5C4",0,2010-09-01,"September",2010,0,0,0,0,0,NA,0,0,0,1,"TOWER HAMLETS PCT",0,0
"5C4",0,2010-10-01,"October",2010,0,0,0,0,0,NA,0,0,0,1,"TOWER HAMLETS PCT",0,0
"5C5",0,2010-08-01,"August",2010,0,0,0,0,0,NA,0,0,0,1,"NEWHAM PCT",0,0
"5C5",0,2010-09-01,"September",2010,0,0,0,0,0,NA,0,0,0,1,"NEWHAM PCT",0,0
"5C5",0,2010-10-01,"October",2010,0,0,0,0,0,NA,0,0,0,1,"NEWHAM PCT",0,0
"5CN",0,2010-08-01,"August",2010,0,0,0,0,0,NA,NA,NA,0,0,"HEREFORDSHIRE PCT",0,0
"5CN",0,2010-09-01,"September",2010,0,0,0,0,0,NA,NA,NA,0,0,"HEREFORDSHIRE PCT",0,0
"5CN",0,2010-10-01,"October",2010,0,0,0,0,0,NA,NA,NA,0,0,"HEREFORDSHIRE PCT",0,0
"5EF",0,2010-08-01,"August",2010,0,0,0,0,0,NA,0,0,0,0,"NORTH LINCOLNSHIRE PCT",0,0
"5EF",0,2010-09-01,"September",2010,0,0,0,0,0,NA,0,0,0,0,"NORTH LINCOLNSHIRE PCT",0,0
"5EF",0,2010-10-01,"October",2010,0,0,0,0,0,NA,0,0,0,0,"NORTH LINCOLNSHIRE PCT",0,0
"5EM",0,2010-08-01,"August",2010,0,0,0,0,0,NA,0,0,0,1,"NOTTINGHAM CITY PCT",0,0
"5EM",0,2010-09-01,"September",2010,0,0,0,0,0,NA,0,0,0,1,"NOTTINGHAM CITY PCT",0,0
"5EM",0,2010-10-01,"October",2010,0,0,0,0,0,NA,0,0,0,1,"NOTTINGHAM CITY PCT",0,0
"5F1",0,2010-08-01,"August",2010,0,0,0,0,0,NA,NA,NA,0,0,"PLYMOUTH TEACHING PCT",0,0
