"old_code","new_code_0","new_code_1","date_change_1","change_type_1","new_code_2","date_change_2","change_type_2","new_code_3","date_change_3","change_type_3","final_code","experiences_split","direct_path_complicated","adjacent_to_complicated","part_of_complicated_path"
"00F","00F","13T",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"13T",0,"no",0,0
"00G","00G","13T",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"13T",0,"no",0,0
"00H","00H","13T",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"13T",0,"no",0,0
"00W","00W","14L",2017-04-01,"merger",NA,NA,NA,NA,NA,NA,"14L",0,"no",0,0
"01M","01M","14L",2017-04-01,"merger",NA,NA,NA,NA,NA,NA,"14L",0,"no",0,0
"01N","01N","14L",2017-04-01,"merger",NA,NA,NA,NA,NA,NA,"14L",0,"no",0,0
"02V","02V","15F",2018-04-01,"merger",NA,NA,NA,NA,NA,NA,"15F",0,"no",0,0
"03C","03C","15F",2018-04-01,"merger",NA,NA,NA,NA,NA,NA,"15F",0,"no",0,0
"03G","03G","15F",2018-04-01,"merger",NA,NA,NA,NA,NA,NA,"15F",0,"no",0,0
"04X","04X","15E",2018-04-01,"merger",NA,NA,NA,NA,NA,NA,"15E",0,"no",0,0
"05P","05P","15E",2018-04-01,"merger",NA,NA,NA,NA,NA,NA,"15E",0,"no",0,0
"0AA","0AA","0DE",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"0DE",0,"no",0,0
"0AC","0AC","0DF",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"0DF",0,"no",0,0
"0AE","0AE","0DF",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"0DF",0,"no",0,0
"0AF","0AF","0CE",2012-10-01,"merger","0CY",2014-10-01,"name_change","YDDTR",2016-04-01,"name_change","YDDTR",0,"no",0,0
"0AG","0AG","0CH",2013-03-14,"merger",NA,NA,NA,NA,NA,NA,"0CH",0,"no",0,0
"0AH","0AH","0CG",2013-03-13,"merger",NA,NA,NA,NA,NA,NA,"0CG",0,"no",0,0
"0AJ","0AJ","0CY",2014-10-01,"name_change","YDDTR",2016-04-01,"name_change",NA,NA,NA,"YDDTR",0,"no",0,0
"0AK","0AK","0DE",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"0DE",0,"no",0,0
"0AL","0AL","0CG",2013-03-13,"merger",NA,NA,NA,NA,NA,NA,"0CG",0,"no",0,0
"0AM","0AM","0DC",2014-10-01,"merger","0DJ",2017-04-01,"name_change",NA,NA,NA,"0DJ",0,"no",0,0
"0AN","0AN","0CE",2012-10-01,"merger","0CY",2014-10-01,"name_change","YDDTR",2016-04-01,"name_change","YDDTR",0,"no",0,0
"0AQ","0AQ","0DJ",2017-04-01,"name_change",NA,NA,NA,NA,NA,NA,"0DJ",0,"no",0,0
"0AV","0AV","0DA",2014-10-01,"name_change",NA,NA,NA,NA,NA,NA,"0DA",0,"no",0,0
"0AW","0AW","0DF",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"0DF",0,"no",0,0
"0AX","0AX","0DC",2014-10-01,"merger","0DJ",2017-04-01,"name_change",NA,NA,NA,"0DJ",0,"no",0,0
"0AY","0AY","0CF",2013-03-13,"merger","0DA",2014-10-01,"name_change",NA,NA,NA,"0DA",0,"no",0,0
"0CA","0CA","0CH",2013-03-14,"merger",NA,NA,NA,NA,NA,NA,"0CH",0,"no",0,0
"0CD","0CD","0CF",2013-03-13,"merger","0DA",2014-10-01,"name_change",NA,NA,NA,"0DA",0,"no",0,0
"10G","10G","15D",2018-04-01,"merger",NA,NA,NA,NA,NA,NA,"15D",0,"no",0,0
"10H","10H","14Y",2018-04-01,"merger",NA,NA,NA,NA,NA,NA,"14Y",0,"no",0,0
"10M","10M","15A",2018-04-01,"merger",NA,NA,NA,NA,NA,NA,"15A",0,"no",0,0
"10N","10N","15A",2018-04-01,"merger",NA,NA,NA,NA,NA,NA,"15A",0,"no",0,0
"10T","10T","15D",2018-04-01,"merger",NA,NA,NA,NA,NA,NA,"15D",0,"no",0,0
"10W","10W","15A",2018-04-01,"merger",NA,NA,NA,NA,NA,NA,"15A",0,"no",0,0
"10Y","10Y","14Y",2018-04-01,"merger",NA,NA,NA,NA,NA,NA,"14Y",0,"no",0,0
"11C","11C","15D",2018-04-01,"merger",NA,NA,NA,NA,NA,NA,"15D",0,"no",0,0
"11D","11D","15A",2018-04-01,"merger",NA,NA,NA,NA,NA,NA,"15A",0,"no",0,0
"11H","11H","15C",2018-04-01,"merger",NA,NA,NA,NA,NA,NA,"15C",0,"no",0,0
"11T","11T","15C",2018-04-01,"merger",NA,NA,NA,NA,NA,NA,"15C",0,"no",0,0
"12A","12A","15C",2018-04-01,"merger",NA,NA,NA,NA,NA,NA,"15C",0,"no",0,0
"12G","12G","13Y",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"13Y",0,"no",0,0
"12H","12H","13X",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"13X",0,"no",0,0
"12J","12J","13W",2015-04-01,"split","14J",2016-04-01,"split",NA,NA,NA,"14J",1,"split_from_multiple",0,1
"12J","12J","13W",2015-04-01,"split","14K",2016-04-01,"split",NA,NA,NA,"14K",1,"split_from_multiple",0,1
"12J","12J","14J",2016-04-01,"split",NA,NA,NA,NA,NA,NA,"14J",1,"no",0,1
"12K","12K","13W",2015-04-01,"split","14J",2016-04-01,"split",NA,NA,NA,"14J",1,"split_from_multiple",0,1
"12K","12K","13W",2015-04-01,"split","14K",2016-04-01,"split",NA,NA,NA,"14K",1,"split_from_multiple",0,1
"12K","12K","14K",2016-04-01,"split",NA,NA,NA,NA,NA,NA,"14K",1,"no",0,1
"12L","12L","13Y",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"13Y",0,"no",0,0
"12M","12M","13X",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"13X",0,"no",0,0
"12N","12N","13V",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"13V",0,"no",0,0
"12P","12P","13V",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"13V",0,"no",0,0
"12Q","12Q","13V",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"13V",0,"no",0,0
"12R","12R","14C",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"14C",0,"no",0,0
"12T","12T","14C",2015-04-01,"merger",NA,NA,NA,NA,NA,NA,"14C",0,"no",0,0
