year_var,quarter_var,SHA,OrgID,Name,Number of operating theatres,"Of which, number of dedicated day case theatres",NA,SHA Code,Organisation Code,Organisation Name,Area Team Code,Area Team Name,Region Code,Region Name
2003,Q2,NA,NA,NA,NA,NA,NA,,,,,,,
2003,Q2,NA,NA,England total,2784,515,NA,,,,,,,
2003,Q2,NA,NA,NA,NA,NA,NA,,,,,,,
2003,Q2,Q09,RE9,South Tyneside Health Care NHS Trust,9,3,NA,,,,,,,
2003,Q2,Q09,RLN,City Hospitals Sunderland NHS Trust,19,2,NA,,,,,,,
2003,Q2,Q09,RR7,Gateshead Health NHS Trust,7,1,NA,,,,,,,
2003,Q2,Q09,RTD,The Newcastle Upon Tyne Hospitals NHS Trust,44,5,NA,,,,,,,
2003,Q2,Q09,RTF,Northumbria Health Care NHS Trust,21,1,NA,,,,,,,
2003,Q2,Q10,RTR,South Tees Hospitals NHS Trust,33,5,NA,,,,,,,
2003,Q2,Q10,RVW,North Tees and Hartlepool NHS Trust,15,4,NA,,,,,,,
2003,Q2,Q10,RXP,County Durham And Darlington Acute Hospitals NHS Trust,25,4,NA,,,,,,,
2003,Q2,Q15,RBL,Wirral Hospital NHS Trust,20,2,NA,,,,,,,
2003,Q2,Q15,RBN,St Helens and Knowsley Hospitals NHS Trust,17,1,NA,,,,,,,
2003,Q2,Q15,RBQ,The Cardiothoracic Centre - Liverpool NHS Trust,12,0,NA,,,,,,,
2003,Q2,Q15,RBS,Royal Liverpool Childrens NHS Trust,8,1,NA,,,,,,,
2003,Q2,Q15,RBT,The Mid Cheshire Hospitals NHS Trust,9,1,NA,,,,,,,
2003,Q2,Q14,RBV,Christie Hospital NHS Trust,3,0,NA,,,,,,,
2003,Q2,Q15,REM,Aintree Hospitals NHS Trust,22,8,NA,,,,,,,
2003,Q2,Q15,REP,Liverpool Womens Hospital NHS Trust,6,0,NA,,,,,,,
2003,Q2,Q15,RET,Walton Centre for Neurology and Neurosurgery NHS Trust,5,1,NA,,,,,,,
2003,Q2,Q15,RJN,East Cheshire NHS Trust,6,0,NA,,,,,,,
2003,Q2,Q15,RJR,Countess of Chester Hospital NHS Trust,13,4,NA,,,,,,,
2003,Q2,Q14,RM2,South Manchester University Hospitals NHS Trust,22,5,NA,,,,,,,
