"year","quarter","org_code","nr_operating_theatres","nr_day_case_theatres","exp_problematic_org_change","org_name","unproblematic_org_change","exp_unproblematic_org_change"
2009,"Q3","5C4",1,1,1,"TOWER HAMLETS PCT",0,0
2009,"Q4","5C4",1,1,1,"TOWER HAMLETS PCT",0,0
2010,"Q3","5C4",1,1,1,"TOWER HAMLETS PCT",0,0
2010,"Q4","5C4",1,1,1,"TOWER HAMLETS PCT",0,0
2011,"Q1","5C4",1,1,1,"TOWER HAMLETS PCT",0,0
2009,"Q4","5C5",1,1,1,"NEWHAM PCT",0,0
2010,"Q3","5C5",1,1,1,"NEWHAM PCT",0,0
2009,"Q1","5M3",1,1,0,"WALSALL TEACHING PCT",0,0
2009,"Q2","5M3",1,1,0,"WALSALL TEACHING PCT",0,0
2009,"Q3","5M3",1,1,0,"WALSALL TEACHING PCT",0,0
2009,"Q4","5M3",1,1,0,"WALSALL TEACHING PCT",0,0
2010,"Q3","5M3",1,1,0,"WALSALL TEACHING PCT",0,0
2010,"Q4","5M3",1,1,0,"WALSALL TEACHING PCT",0,0
2009,"Q3","5N3",7,3,0,"WAKEFIELD DISTRICT PCT",0,0
2009,"Q4","5N3",7,3,0,"WAKEFIELD DISTRICT PCT",0,0
2010,"Q3","5N3",7,3,0,"WAKEFIELD DISTRICT PCT",0,0
2010,"Q4","5N3",7,3,0,"WAKEFIELD DISTRICT PCT",0,0
2011,"Q1","5N3",7,3,0,"WAKEFIELD DISTRICT PCT",0,0
2011,"Q2","5N3",7,3,0,"WAKEFIELD DISTRICT PCT",0,0
2003,"Q2","5N6",2,2,0,"DERBYSHIRE COUNTY PCT",0,1
2003,"Q3","5N6",2,2,0,"DERBYSHIRE COUNTY PCT",0,1
2003,"Q4","5N6",2,2,0,"DERBYSHIRE COUNTY PCT",0,1
2004,"Q1","5N6",2,2,0,"DERBYSHIRE COUNTY PCT",0,1
2004,"Q2","5N6",2,2,0,"DERBYSHIRE COUNTY PCT",0,1
2004,"Q3","5N6",2,2,0,"DERBYSHIRE COUNTY PCT",0,1
2004,"Q4","5N6",2,2,0,"DERBYSHIRE COUNTY PCT",0,1
2005,"Q4","5N6",2,2,0,"DERBYSHIRE COUNTY PCT",0,1
2006,"Q1","5N6",2,2,0,"DERBYSHIRE COUNTY PCT",0,1
2006,"Q2","5N6",2,2,0,"DERBYSHIRE COUNTY PCT",0,1
2006,"Q3","5N6",2,2,0,"DERBYSHIRE COUNTY PCT",0,1
2006,"Q4","5N6",2,2,0,"DERBYSHIRE COUNTY PCT",0,1
2007,"Q1","5N6",2,2,0,"DERBYSHIRE COUNTY PCT",1,1
2007,"Q2","5N6",2,2,0,"DERBYSHIRE COUNTY PCT",0,1
2007,"Q3","5N6",2,2,0,"DERBYSHIRE COUNTY PCT",0,1
2007,"Q4","5N6",2,2,0,"DERBYSHIRE COUNTY PCT",0,1
2008,"Q1","5N6",2,2,0,"DERBYSHIRE COUNTY PCT",0,1
2008,"Q2","5N6",2,2,0,"DERBYSHIRE COUNTY PCT",0,1
2008,"Q3","5N6",2,2,0,"DERBYSHIRE COUNTY PCT",0,1
2008,"Q4","5N6",2,2,0,"DERBYSHIRE COUNTY PCT",0,1
2009,"Q1","5N6",2,2,0,"DERBYSHIRE COUNTY PCT",0,1
2009,"Q2","5N6",2,2,0,"DERBYSHIRE COUNTY PCT",0,1
2009,"Q3","5N6",2,2,0,"DERBYSHIRE COUNTY PCT",0,1
2009,"Q4","5N6",2,2,0,"DERBYSHIRE COUNTY PCT",0,1
2010,"Q3","5N6",2,2,0,"DERBYSHIRE COUNTY PCT",0,1
2010,"Q4","5N6",2,2,0,"DERBYSHIRE COUNTY PCT",0,1
2003,"Q2","5NY",3,3,0,"BRADFORD AND AIREDALE TEACHING PCT",0,1
2003,"Q4","5NY",3,3,0,"BRADFORD AND AIREDALE TEACHING PCT",0,1
2004,"Q1","5NY",3,3,0,"BRADFORD AND AIREDALE TEACHING PCT",0,1
2004,"Q2","5NY",3,3,0,"BRADFORD AND AIREDALE TEACHING PCT",0,1
2004,"Q3","5NY",2,2,0,"BRADFORD AND AIREDALE TEACHING PCT",0,1
2004,"Q4","5NY",3,3,0,"BRADFORD AND AIREDALE TEACHING PCT",0,1
2005,"Q4","5NY",3,3,0,"BRADFORD AND AIREDALE TEACHING PCT",0,1
2006,"Q1","5NY",3,3,0,"BRADFORD AND AIREDALE TEACHING PCT",0,1
2006,"Q2","5NY",3,3,0,"BRADFORD AND AIREDALE TEACHING PCT",0,1
2006,"Q3","5NY",1,1,0,"BRADFORD AND AIREDALE TEACHING PCT",0,1
2006,"Q4","5NY",1,1,0,"BRADFORD AND AIREDALE TEACHING PCT",0,1
2007,"Q1","5NY",1,1,0,"BRADFORD AND AIREDALE TEACHING PCT",1,1
2007,"Q2","5NY",1,1,0,"BRADFORD AND AIREDALE TEACHING PCT",0,1
2007,"Q3","5NY",1,1,0,"BRADFORD AND AIREDALE TEACHING PCT",0,1
2007,"Q4","5NY",1,1,0,"BRADFORD AND AIREDALE TEACHING PCT",0,1
2008,"Q1","5NY",1,1,0,"BRADFORD AND AIREDALE TEACHING PCT",0,1
2008,"Q2","5NY",1,1,0,"BRADFORD AND AIREDALE TEACHING PCT",0,1
2009,"Q3","5NY",0,0,0,"BRADFORD AND AIREDALE TEACHING PCT",0,1
2009,"Q4","5NY",0,0,0,"BRADFORD AND AIREDALE TEACHING PCT",0,1
2003,"Q2","5P7",2,0,0,NA,0,0
2003,"Q3","5P7",2,0,0,NA,0,0
2003,"Q4","5P7",2,0,0,NA,0,0
2003,"Q2","5PA",4,3,0,"LEICESTERSHIRE COUNTY AND RUTLAND PCT",0,1
2003,"Q3","5PA",4,4,0,"LEICESTERSHIRE COUNTY AND RUTLAND PCT",0,1
2003,"Q4","5PA",4,4,0,"LEICESTERSHIRE COUNTY AND RUTLAND PCT",0,1
2004,"Q1","5PA",4,4,0,"LEICESTERSHIRE COUNTY AND RUTLAND PCT",0,1
2004,"Q2","5PA",4,4,0,"LEICESTERSHIRE COUNTY AND RUTLAND PCT",0,1
2004,"Q3","5PA",3,3,0,"LEICESTERSHIRE COUNTY AND RUTLAND PCT",0,1
2004,"Q4","5PA",4,4,0,"LEICESTERSHIRE COUNTY AND RUTLAND PCT",0,1
2005,"Q4","5PA",4,4,0,"LEICESTERSHIRE COUNTY AND RUTLAND PCT",0,1
2006,"Q1","5PA",4,4,0,"LEICESTERSHIRE COUNTY AND RUTLAND PCT",0,1
2006,"Q2","5PA",4,4,0,"LEICESTERSHIRE COUNTY AND RUTLAND PCT",0,1
2006,"Q3","5PA",4,4,0,"LEICESTERSHIRE COUNTY AND RUTLAND PCT",0,1
2006,"Q4","5PA",4,4,0,"LEICESTERSHIRE COUNTY AND RUTLAND PCT",0,1
2007,"Q1","5PA",4,0,0,"LEICESTERSHIRE COUNTY AND RUTLAND PCT",1,1
2007,"Q2","5PA",4,0,0,"LEICESTERSHIRE COUNTY AND RUTLAND PCT",0,1
2007,"Q3","5PA",4,4,0,"LEICESTERSHIRE COUNTY AND RUTLAND PCT",0,1
2007,"Q4","5PA",4,0,0,"LEICESTERSHIRE COUNTY AND RUTLAND PCT",0,1
2008,"Q1","5PA",4,4,0,"LEICESTERSHIRE COUNTY AND RUTLAND PCT",0,1
2008,"Q2","5PA",4,4,0,"LEICESTERSHIRE COUNTY AND RUTLAND PCT",0,1
2008,"Q3","5PA",4,4,0,"LEICESTERSHIRE COUNTY AND RUTLAND PCT",0,1
2008,"Q4","5PA",4,4,0,"LEICESTERSHIRE COUNTY AND RUTLAND PCT",0,1
2009,"Q1","5PA",4,4,0,"LEICESTERSHIRE COUNTY AND RUTLAND PCT",0,1
2009,"Q2","5PA",4,4,0,"LEICESTERSHIRE COUNTY AND RUTLAND PCT",0,1
2009,"Q3","5PA",4,4,0,"LEICESTERSHIRE COUNTY AND RUTLAND PCT",0,1
2009,"Q4","5PA",4,4,0,"LEICESTERSHIRE COUNTY AND RUTLAND PCT",0,1
2010,"Q3","5PA",4,4,0,"LEICESTERSHIRE COUNTY AND RUTLAND PCT",0,1
2010,"Q4","5PA",3,3,0,"LEICESTERSHIRE COUNTY AND RUTLAND PCT",0,1
2009,"Q3","5PF",0,0,0,"SANDWELL PCT",0,0
2003,"Q2","5PK",1,1,0,"SOUTH STAFFORDSHIRE PCT",0,1
2003,"Q3","5PK",1,1,0,"SOUTH STAFFORDSHIRE PCT",0,1
2003,"Q4","5PK",1,1,0,"SOUTH STAFFORDSHIRE PCT",0,1
2004,"Q1","5PK",1,1,0,"SOUTH STAFFORDSHIRE PCT",0,1
2004,"Q2","5PK",1,1,0,"SOUTH STAFFORDSHIRE PCT",0,1
2004,"Q3","5PK",1,1,0,"SOUTH STAFFORDSHIRE PCT",0,1
2004,"Q4","5PK",1,1,0,"SOUTH STAFFORDSHIRE PCT",0,1
2005,"Q4","5PK",1,1,0,"SOUTH STAFFORDSHIRE PCT",0,1
2006,"Q1","5PK",1,1,0,"SOUTH STAFFORDSHIRE PCT",0,1
2006,"Q2","5PK",1,1,0,"SOUTH STAFFORDSHIRE PCT",0,1
2006,"Q3","5PK",1,1,0,"SOUTH STAFFORDSHIRE PCT",0,1
2006,"Q4","5PK",1,1,0,"SOUTH STAFFORDSHIRE PCT",0,1
2007,"Q1","5PK",1,1,0,"SOUTH STAFFORDSHIRE PCT",1,1
