year_var,quarter_var,SHA,organisation_code,organisation_name,area_team_code,area_team_name,region_code,region_name,nr_operating_theatres,nr_day_case_theatres
2003,Q2,Q09,RE9,South Tyneside Health Care NHS Trust,,,,,9,3
2003,Q2,Q09,RLN,City Hospitals Sunderland NHS Trust,,,,,19,2
2003,Q2,Q09,RR7,Gateshead Health NHS Trust,,,,,7,1
2003,Q2,Q09,RTD,The Newcastle Upon Tyne Hospitals NHS Trust,,,,,44,5
2003,Q2,Q09,RTF,Northumbria Health Care NHS Trust,,,,,21,1
2003,Q2,Q10,RTR,South Tees Hospitals NHS Trust,,,,,33,5
2003,Q2,Q10,RVW,North Tees and Hartlepool NHS Trust,,,,,15,4
2003,Q2,Q10,RXP,County Durham And Darlington Acute Hospitals NHS Trust,,,,,25,4
2003,Q2,Q15,RBL,Wirral Hospital NHS Trust,,,,,20,2
2003,Q2,Q15,RBN,St Helens and Knowsley Hospitals NHS Trust,,,,,17,1
2003,Q2,Q15,RBQ,The Cardiothoracic Centre - Liverpool NHS Trust,,,,,12,0
2003,Q2,Q15,RBS,Royal Liverpool Childrens NHS Trust,,,,,8,1
2003,Q2,Q15,RBT,The Mid Cheshire Hospitals NHS Trust,,,,,9,1
2003,Q2,Q14,RBV,Christie Hospital NHS Trust,,,,,3,0
2003,Q2,Q15,REM,Aintree Hospitals NHS Trust,,,,,22,8
2003,Q2,Q15,REP,Liverpool Womens Hospital NHS Trust,,,,,6,0
2003,Q2,Q15,RET,Walton Centre for Neurology and Neurosurgery NHS Trust,,,,,5,1
2003,Q2,Q15,RJN,East Cheshire NHS Trust,,,,,6,0
2003,Q2,Q15,RJR,Countess of Chester Hospital NHS Trust,,,,,13,4
2003,Q2,Q14,RM2,South Manchester University Hospitals NHS Trust,,,,,22,5
2003,Q2,Q14,RM3,Salford Royal Hospitals NHS Trust,,,,,12,4
2003,Q2,Q14,RM4,Trafford Healthcare NHS Trust,,,,,7,2
2003,Q2,Q14,RMC,Bolton Hospitals NHS Trust,,,,,13,5
